Tipo_Fundo_Classe;CNPJ_Fundo_Classe;Data_Referencia;Versao;Data_Entrega;Nome_Fundo_Classe;Data_Funcionamento;Publico_Alvo;Codigo_ISIN;Quantidade_Cotas_Emitidas;Fundo_Exclusivo;Cotistas_Vinculo_Familiar;Mandato;Segmento_Atuacao;Tipo_Gestao;Prazo_Duracao;Data_Prazo_Duracao;Encerramento_Exercicio_Social;Mercado_Negociacao_Bolsa;Mercado_Negociacao_MBO;Mercado_Negociacao_MB;Entidade_Administradora_BVMF;Entidade_Administradora_CETIP;Nome_Administrador;CNPJ_Administrador;Logradouro;Numero;Complemento;Bairro;Cidade;Estado;CEP;Telefone1;Telefone2;Telefone3;Site;Email
Classe;01.633.741/0001-72;2026-01-01;1;2026-02-12;FII MEMORIAL OFFICE RESP LTDA;1997-03-18;INVESTIDORES EM GERAL;BRFMOFCTF010;508008;N;N;;Escritórios;Definida;Indeterminado;;31/12;S;N;N;S;N;HEDGE INVESTMENTS DTVM LTDA;07253654000176;AVENIDA BRIGADEIRO FARIA LIMA;3600;11º ANDAR CJ 112;ITAIM BIBI;SÃO PAULO;SP;04538-132;(11) 5412-5400;;;www.hedgeinvest.com.br;dtvm@hedgeinvest.com.br
Classe;01.636.325/0001-28;2026-01-01;1;2026-02-13;PATEO MOINHOS FII RL;1998-03-11;INVESTIDOR QUALIFICADO;BRPMOVCTF008;234900;N;N;;Multicategoria;Definida;Indeterminado;;31/12;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22.250-040;55 11 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
Classe;01.657.856/0001-05;2026-01-01;1;2026-02-13;SCP - FUNDO DE INVESTIMENTO IMOBILIARIO;1996-10-31;INVESTIDORES EM GERAL;BRRTELCTF001;4200000;N;N;;Shoppings;Ativa;Indeterminado;;31/12;N;N;S;N;N;BR-CAPITAL DIST. DE TÍTULOS E VALORES MOBILIÁRIOS S/A;44077014000189;RUA SURUBIM;577;CONJ. 101;CIDADE MONÇÕES;SÃO PAULO;SP;04571-050;(11) 5508-3500;;;www.brcapital.com.br;fundos@brcapital.com.br
Fundo;01.964.775/0001-40;2026-01-01;1;2026-02-05;FUNDO DE INVESTIMENTO IMOBILIÁRIO GEO GUARARAPES;2005-11-03;INVESTIDOR QUALIFICADO E PROFISSIONAL;BRGEOGCTF005;12583000;S;S;;Educacional;Definida;Indeterminado;;31/12;S;N;N;S;N;BANCO BMG CONSIGNADO S.A.;50585090000106;AVENIDA JUSCELINO KUBITSCHEK;1830;SALA 101 BL 01;ITAIM BIBI;SÃO PAULO;SP;04543-000;11 2847-7491;;;N/C;barbara.foliveira@bancobmg.com.br
Fundo;01.964.775/0001-40;2026-02-01;1;2026-03-04;FUNDO DE INVESTIMENTO IMOBILIÁRIO GEO GUARARAPES;2005-11-03;INVESTIDOR QUALIFICADO E PROFISSIONAL;BRGEOGCTF005;12583000;S;S;;Educacional;Definida;Indeterminado;;31/12;S;N;N;S;N;BANCO BMG CONSIGNADO S.A.;50585090000106;AVENIDA JUSCELINO KUBITSCHEK;1830;SALA 101 BL 01;ITAIM BIBI;SÃO PAULO;SP;04543-000;11 2847-7491;;;N/C;barbara.foliveira@bancobmg.com.br
Classe;02.508.235/0001-14;2026-01-01;1;2026-02-13;LOGINVEST FII INDUSTRIAL DE RESPONSABILIDADE LIMITADA;1998-06-10;INVESTIDORES EM GERAL;BRLGVTCTF016;17100;N;N;;Logística;Definida;Indeterminado;;31/12;N;N;S;N;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;72600026000181;AV. CHEDID JAFET;222;Conjunto 32 - BLOCO B;VILA OLÍMPIA;SÃO PAULO;SP;04551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
Classe;03.251.720/0001-18;2026-01-01;1;2026-02-13;FII PROJ AGUA BRANCA;2023-12-29;INVESTIDORES EM GERAL;BRFPABCTF011;750000;N;N;;Escritórios;Definida;Indeterminado;;31/12;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22.250-040;55 11 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
Classe;03.507.519/0001-59;2026-01-01;1;2026-02-13;SHOPPING PÁTIO HIGIENÓPOLIS FII DE RESPONSABILIDADE LIMITADA;1999-10-15;INVESTIDORES EM GERAL;BRSHPHCTF008;608950;N;N;;Shoppings;Definida;Indeterminado;;31/12;S;N;N;S;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;72600026000181;AV. CHEDID JAFET;222;Conjunto 32 - BLOCO B;VILA OLÍMPIA;SÃO PAULO;SP;04551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
Classe;03.683.056/0001-86;2026-01-01;1;2026-02-13;FUNDO DE INV. IMOBILIÁRIO RIO BRAVO RENDA CORPORATIVA;2000-01-12;INVESTIDORES EM GERAL;BRRCRBCTF000;3690695;N;N;;Escritórios;Ativa;Indeterminado;;31/12;S;N;N;S;N;RIO BRAVO INVESTIMENTOS - DTVM LTDA;72600026000181;AVENIDA CHEDID JAFET;222;BLOCO B - CONJUNTO 32;VILA OLIMPIA;SÃO PAULO;SP;04551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
Classe;03.855.441/0001-63;2026-01-01;1;2026-02-23;RB LOGISTICA FII DE RESPONSABILIDADE LIMITADA;2000-05-02;INVESTIDOR QUALIFICADO;0;144210661;N;N;;Logística;Definida;Indeterminado;;31/12;N;N;S;N;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;72600026000181;AV. CHEDID JAFET;222;Conjunto 32 - Bloco B;Vila Olímpia;São Paulo;SP;04551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
Classe;04.066.582/0001-60;2026-01-01;1;2026-02-13;HOSPITAL CRIANCA FII;2000-10-03;INVESTIDORES EM GERAL;BRHCRICTF006;200000;N;N;;Hospital;Definida;Indeterminado;;31/12;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22.250-040;55 11 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
Classe;04.141.645/0001-03;2026-01-01;1;2026-02-11;FII CONTINENTAL SQUARE FARIA LIMA - RESP. LIMITADA;2000-08-29;INVESTIDORES EM GERAL;BRFLMACTF009;1380670;N;N;;Escritórios;Ativa;Indeterminado;;31/12;S;N;N;S;N;BR-CAPITAL DIST. DE TÍTULOS E VALORES MOBILIÁRIOS S/A;44077014000189;RUA SURUBIM;577;CONJ. 101;CIDADE MONÇÕES;SÃO PAULO;SP;04571-050;(11) 5508-3500;;;www.brcapital.com.br;fundos@brcapital.com.br
Classe;04.644.612/0001-78;2026-01-01;1;2026-02-09;STARK FUNDO DE INVESTIMENTO IMOBILIÁRIO-FII;2021-09-13;INVESTIDOR PROFISSIONAL;BROLMPCTF009;2044676.01522874;N;N;;Hotel;Ativa;Indeterminado;;31/12;S;N;N;S;N;RJI CTVM LTDA;42066258000130;AVENIDA RIO BRANCO;138;4º ANDAR - SALA 402;CENTRO;RIO DE JANERIO;RJ;20040-002;21-3500-4514;21-3500-4514;;www.rjicv.com.br;controladoria.fundos@rjicv.com.br
Classe;04.722.883/0001-02;2026-01-01;1;2026-02-13;TORRE NORTE FII;2001-10-10;INVESTIDORES EM GERAL;BRTRNTCTF013;3935562;N;N;;Escritórios;Definida;Indeterminado;;31/12;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22.250-040;55 11 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
Fundo;05.437.916/0001-27;2026-01-01;1;2026-02-12;F.I.I EUROPAR RESPONSABILIDADE LIMITADA;2002-12-10;INVESTIDORES EM GERAL;BREUROCTF011;383936;N;N;;Logística;Definida;Indeterminado;;31/12;S;N;N;S;N;COINVALORES CCVM LTDA;00336036000140;Avenida Brigadeiro faria lima;1800;2º andar;Jardim Paulistano;são Paulo;SP;01451-001;(11)3035-4143;(11)3035-4141;;www.coinvalores.com.br;admfundoimobiliario@coinvalores.com.br
Classe;05.562.312/0001-02;2026-01-01;1;2026-02-24;FII EDIFÍCIO ALMIRANTE BARROSO RL;2003-03-17;INVESTIDORES EM GERAL;BRFAMBCTF018;122538;N;N;;Residencial;Definida;Indeterminado;;31/12;S;N;N;S;N;ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;44782130000101;o:RUA MARTIM DE CARVALHO;723;SALA 1001;SANTO AGOSTINHO;BELO HORIZONTE;MG;30190-094;+55(31)3658-3032;;;www.actualdtvm.com;admfiduciario@actualdtvm.com.br
Classe;06.175.262/0001-73;2026-01-01;1;2026-02-13;FII EDIFÍCIO OURINVEST;2004-04-19;INVESTIDORES EM GERAL;BREDFOCTF004;236000;N;N;;Residencial;Definida;Indeterminado;;31/12;S;N;N;S;N;OLIVEIRA TRUST DTVM S.A.;36113876000191;Av. das Américas;3434;Bl. 7 Grupo 201;Barra da Tijuca;Rio de Janeiro;RJ;22640-102;(21) 3514-0000;;;www.oliveiratrust.com.br;ger2.fundos@oliveiratrust.com.br
Classe;07.000.400/0001-46;2026-01-01;1;2026-02-13;BB PROGRESSIVO FII;2004-09-03;INVESTIDORES EM GERAL;BRBBFICTF006;130000;N;N;;Escritórios;Definida;Indeterminado;;31/12;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22.250-040;55 11 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
Classe;07.122.725/0001-00;2026-01-01;1;2026-02-13;TORRE ALMIRANTE FII;2004-11-19;INVESTIDORES EM GERAL;BRALMICTF003;111177;N;N;;Escritórios;Definida;Indeterminado;;31/12;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22.250-040;55 11 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
Classe;07.224.019/0001-60;2026-01-01;1;2026-02-13;SPDP FII RL;2005-01-28;INVESTIDORES EM GERAL;BRSHDPCTF007;1189725;N;N;;Shoppings;Definida;Indeterminado;;31/12;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22.250-040;55 11 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
Classe;07.583.627/0001-61;2026-01-01;1;2026-02-13;PENINSULA FII RL;2005-07-13;INVESTIDOR QUALIFICADO;BRXPMLCTF000;224952;N;N;;Multicategoria;Ativa;Indeterminado;;14/12;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22.250-040;55 11 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
Classe;07.789.135/0001-27;2026-01-01;1;2026-02-13;FUNDO DE INVESTIMENTO IMOBILIÁRIO ANCAR IC;2005-12-21;INVESTIDORES EM GERAL;BRANCRCTF001;34717612.9610135;N;N;;Shoppings;Ativa;Indeterminado;;31/12;S;N;N;S;N;GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIÁRIOS S.A.;27652684000162;Praia de Botafogo;228;9º;Botafogo;Rio de Janeiro;RJ;20091-020;(21) 3923-3000;(21) 3923-3046;;www.genialinvestimentos.com.br;Structured-Funds@genial.com.vc
Classe;08.014.513/0001-63;2026-01-01;1;2026-02-13;HNS LOURDES FII;2006-04-20;INVESTIDORES EM GERAL;BRNSLUCTF008;1293286;N;N;;Hospital;Definida;Indeterminado;;31/12;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22.250-040;55 11 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
Classe;08.098.114/0001-28;2026-01-01;1;2026-02-13;HSI RENDA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOBILIÁRIO;2006-06-26;INVESTIDORES EM GERAL;BRPRGDCTF001;8898724;N;N;;Outros;Ativa;Indeterminado;;30/06;S;S;N;S;S;BRL TRUST DTVM S.A.;13486793000142;Rua Alves Guimarães;1216;;Pinheiros;São Paulo;SP;05410-002;(11) 3509-0600;;;www.apexgroup.com/apex-brazil/;infolegal@apexgroup.com
Classe;08.417.532/0001-30;2026-01-01;1;2026-02-05;FCM FII DE RESPONSABILIDADE LIMITADA;2006-08-14;INVESTIDOR QUALIFICADO;;46971;N;N;;Outros;Definida;Indeterminado;;31/12;N;N;S;N;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;72600026000181;Avenida Chedid Jafet;222;Bloco B - Conjunto 32;Vila Olímpia;São Paulo;SP;04551-065;11 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
Classe;08.431.747/0001-06;2026-01-01;2;2026-02-26;HEDGE BRASIL SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO;2006-12-28;INVESTIDORES EM GERAL;BRHGBSCTF000;129133010;N;N;;Shoppings;Ativa;Indeterminado;;31/12;S;N;N;S;N;HEDGE INVESTMENTS DTVM LTDA;07253654000176;AVENIDA BRIGADEIRO FARIA LIMA;3600;11º ANDAR CJ 112;ITAIM BIBI;SÃO PAULO;SP;04538-132;(11) 5412-5400;;;www.hedgeinvest.com.br;dtvm@hedgeinvest.com.br
Classe;08.693.497/0001-82;2026-01-01;1;2026-02-12;FUNDO DE INVESTIMENTO IMOBILIÁRIO VEREDA;2019-11-13;INVESTIDORES EM GERAL;BRVERECTF002;639906.5347;N;N;;Multicategoria;Ativa;Indeterminado;;31/12;N;N;S;N;N;VÓRTX DTVM LTDA;22610500000188;Rua Gilberto Sabino;215;4º ANDAR;Pinheiros;;SP;5425020;11 3030-7177;;;www.vortx.com.br;fundos@vortx.com.br
Classe;08.696.175/0001-97;2026-01-01;1;2026-02-13;RB CAPITAL RENDA I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2007-01-30;INVESTIDORES EM GERAL;BRHUSCCTF009;927162;N;N;;Logística;Ativa;Indeterminado;;30/06;S;N;N;S;N;OLIVEIRA TRUST DIST. DE TÍTULOS E VALORES MOBILIÁRIOS S/A;36113876000191;AVENIDA DAS AMÉRICAS;3434;BLOCO 07 - SALA 201;BARRA DA TIJUCA;RIO DE JANEIRO;RJ;22640-102;(21) 3514-0000;;;www.oliveiratrust.com.br;ger2.fundos@oliveiratrust.com.br
Classe;08.706.065/0001-69;2026-01-01;1;2026-02-13;HOTEL MAXINVEST FII;2007-02-13;INVESTIDORES EM GERAL;BRHTMXCTF000;2888094;N;N;;Hotel;Ativa;Indeterminado;;31/12;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22.250-040;55 11 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
Classe;08.924.783/0001-01;2026-01-01;2;2026-02-26;BC FUND FII;2007-07-20;INVESTIDORES EM GERAL;BRBRCRCTF000;26638202;N;N;;Multicategoria;Ativa;Indeterminado;;31/12;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22.250-040;55 11 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
Classe;08.971.868/0001-40;2026-01-01;1;2026-02-06;FUNDO DE INVESTIMENTO IMOBILIÁRIO RIO GRANDE;2024-12-20;INVESTIDOR PROFISSIONAL;;27423.30802067;S;N;;Outros;Ativa;Indeterminado;;30/06;N;S;N;N;S;INTRA INVESTIMENTOS DTVM LTDA;15489568000195;RUA JOAQUIM FLORIANO;1120;5º ANDAR;ITAIM BIBI;SÃO PAULO;SP;04534004;(11) 31985151;;;www.intrainvestimentos.com.br;administracao.fundos@intrainvestimentos.com.br
Classe;08.971.868/0001-40;2026-02-01;1;2026-03-03;FUNDO DE INVESTIMENTO IMOBILIÁRIO RIO GRANDE;2024-12-20;INVESTIDOR PROFISSIONAL;;27423.30802067;S;N;;Outros;Ativa;Indeterminado;;30/06;N;S;N;N;S;INTRA INVESTIMENTOS DTVM LTDA;15489568000195;RUA JOAQUIM FLORIANO;1120;5º ANDAR;ITAIM BIBI;SÃO PAULO;SP;04534004;(11) 31985151;;;www.intrainvestimentos.com.br;administracao.fundos@intrainvestimentos.com.br
Classe;09.006.914/0001-34;2026-01-01;1;2026-02-12;RB CAPITAL RENDA II - FII;2024-08-30;INVESTIDORES EM GERAL;BRRBRDCTF008;1851786;N;N;;Multicategoria;Ativa;Indeterminado;;31/12;S;N;N;S;N;.BANCO DAYCOVAL S/A;62232889000190;Avenida Paulista;1793;2º Andar;Bela Vista;São Paulo;SP;01311200;0300 111 0500;11 3563-4389;11 3563-4318;www.daycoval.com.br/investimentos/servicos-fiduciarios;informes.regulatorios@bancodaycoval.com.br
Classe;09.072.017/0001-29;2026-01-01;1;2026-02-13;PÁTRIA ESCRITÓRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO;2008-04-17;INVESTIDORES EM GERAL;BRHGRECTF006;11817767;N;N;;Escritórios;Ativa;Indeterminado;;31/12;S;N;N;S;N;BANCO GENIAL S.A.;45246410000155;Praia de Botafogo;228;9 ANDAR;Botafogo;Rio de Janeiro;RJ;222050-906;(11) 3524-8888;;;www.genialinvestimentos.com.br;structured-funds@genial.com.vc
Classe;09.150.967/0001-24;2026-01-01;1;2026-02-09;FUNDO DE INVESTIMENTO IMOBILIÁRIO PATRIMONIAL IV;2007-12-17;INVESTIDOR QUALIFICADO;;73304.97449994;N;N;;Outros;Ativa;Indeterminado;;31/12;N;N;S;N;N;OSLO CAPITAL DTVM;13673855000125;Rua Dr. Eduardo de Souza Aranha;153;4º andar;Vila Nova Conceição;São Paulo;SP;04543120;35133144;;;www.oslodtvm.com;fiduciario@oslodtvm.com
Classe;09.276.964/0001-31;2026-01-01;1;2026-03-02;FII PLANNER 0418 - PROPERTY INVEST FII;2008-01-11;INVESTIDOR QUALIFICADO;0;1206868.34768904;N;N;;Shoppings;Definida;Indeterminado;;31/12;N;N;S;N;N;PLANNER CORRETORA DE VALORES S.A;00806535000154;Avenida Brigadeiro Faria Lima;3900;10º andar;Jardim Paulistano;São Paulo;SP;04538-132;(11) 3504-6800;;;www.planner.com.br;informacoesregulatorias@planner.com.br
Classe;09.276.964/0001-31;2026-02-01;1;2026-03-03;FII PLANNER 0418 - PROPERTY INVEST FII;2008-01-11;INVESTIDOR QUALIFICADO;0;1206868.34768904;N;N;;Shoppings;Definida;Indeterminado;;31/12;N;N;S;N;N;PLANNER CORRETORA DE VALORES S.A;00806535000154;Avenida Brigadeiro Faria Lima;3900;10º andar;Jardim Paulistano;São Paulo;SP;04538-132;(11) 3504-6800;;;www.planner.com.br;informacoesregulatorias@planner.com.br
Classe;09.326.861/0001-39;2026-01-01;1;2026-02-12;SHOPPING WEST PLAZA FUNDO DE INVESTIMENTO IMOBILIARIO;2008-01-17;INVESTIDORES EM GERAL;BRWPLZCTF004;1186683;N;N;;Shoppings;Definida;Indeterminado;;31/12;S;N;N;S;N;HEDGE INVESTMENTS DTVM LTDA;07253654000176;AVENIDA BRIGADEIRO FARIA LIMA;3600;11º ANDAR CJ 112;ITAIM BIBI;SÃO PAULO;SP;04538-132;(11) 5412-5400;;;www.hedgeinvest.com.br;dtvm@hedgeinvest.com.br
Classe;09.517.273/0001-82;2026-01-01;1;2026-02-12;SEQUÓIA III RENDA IMOBILIÁRIA FII;2020-11-04;INVESTIDORES EM GERAL;BRSEQRCTF002;1665695.3525;N;N;;Logística;Ativa;Indeterminado;;31/12;S;N;N;S;N;VÓRTX DTVM LTDA;22610500000188;Rua Gilberto Sabino;215;4º ANDAR;Pinheiros;São Paulo;SP;5425020;11 3030-7177;;;www.vortx.com.br;fundos@vortx.com.br
Classe;09.552.812/0001-14;2026-01-01;1;2026-02-13;BTG CRÉDITO IMOB FII;2008-05-19;INVESTIDORES EM GERAL;BRFEXCCTF007;99521172;N;N;;Outros;Ativa;Indeterminado;;31/12;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22.250-040;55 11 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
Classe;10.347.985/0001-80;2026-01-01;1;2026-02-12;CIDADE JARDIM CONTINENTAL TOWER FII;2010-12-22;INVESTIDOR QUALIFICADO;BRCJCTCTF001;3140000;N;N;;Escritórios;Definida;Indeterminado;;31/12;S;N;N;S;N;HEDGE INVESTMENTS DTVM LTDA;07253654000176;AVENIDA BRIGADEIRO FARIA LIMA;3600;11º ANDAR CJ 112;ITAIM BIBI;SÃO PAULO;SP;04538-132;(11) 5412-5400;;;www.hedgeinvest.com.br;dtvm@hedgeinvest.com.br
